,execution_cycles,compute_cycles,idle_cycles,loads,stores,hit_count,miss_count,miss_rate,private,shared,private_rate,benchmark,protocol,cache_size,associativity,line_size
5297,30200083,11301515,18898568,1832174,579291,2244764,166701,0.06912852,1945427,377778,0.8373893,fluidanimate,MOESI,2048,2,32
5411,26722393,11301515,15420878,1832174,579291,2279798,131667,0.05460042,1942325,389076,0.8331149,fluidanimate,MOESI,4096,2,32
5496,24663304,11301515,13361789,1832174,579291,2300277,111188,0.04610807,1921987,417575,0.8215157,fluidanimate,MOESI,8192,2,32
5618,22079326,11301515,10777811,1832174,579291,2326035,85430,0.0354266,1893069,463265,0.8033959,fluidanimate,MOESI,16384,2,32
5749,20352076,11301515,9050561,1832174,579291,2341813,69652,0.02888369,1873545,492910,0.7917095,fluidanimate,MOESI,65536,2,32
5757,20794099,11301515,9492584,1832174,579291,2338088,73377,0.03042839,1874611,488812,0.7931763,fluidanimate,MOESI,32768,2,32
6065,20198017,11301515,8896502,1832174,579291,2342978,68487,0.02840058,1873550,495250,0.7909279,fluidanimate,MOESI,131072,2,32
6552,20067433,11301515,8765918,1832174,579291,2344006,67459,0.02797428,1877733,495311,0.7912761,fluidanimate,MOESI,262144,2,32
6698,19842412,11301515,8540897,1832174,579291,2345881,65584,0.02719675,1883776,496324,0.7914693,fluidanimate,MOESI,524288,2,32
6881,19555915,11301515,8254400,1832174,579291,2348052,63413,0.02629646,1889943,502001,0.7901284,fluidanimate,MOESI,1048576,2,32
7177,125520334,11301515,114218819,1832174,579291,1282091,1129374,0.4683352,2080522,41636,0.9803803,fluidanimate,MOESI,64,2,32
7184,104052124,11301515,92750609,1832174,579291,1498945,912520,0.378409,2079507,97027,0.9554213,fluidanimate,MOESI,128,2,32
7195,70281067,11301515,58979552,1832174,579291,1840060,571405,0.2369535,2010756,231646,0.8966974,fluidanimate,MOESI,256,2,32
7211,52942201,11301515,41640686,1832174,579291,2015178,396287,0.1643345,1974812,302570,0.8671413,fluidanimate,MOESI,512,2,32
7233,36803671,11301515,25502156,1832174,579291,2178140,233325,0.09675654,1940406,368149,0.8405284,fluidanimate,MOESI,1024,2,32
